batter_id,last_season,last_level,target_level_2024,method,fit_mode,val_rmse,val_mae,val_aic,forecast,lower_95,upper_95
4,2023,AAA,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,9.506052573111447,84.30011886686115,83.11284122440982,85.48739650931249
4,2023,AAA,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,9.506052573111447,84.30011886686115,83.11284122440982,85.48739650931249
4,2023,AAA,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,9.506052573111447,84.30011886686115,83.11284122440982,85.48739650931249
6,2023,MLB,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,23.92131495536352,88.8438104438311,85.36698704610322,92.32063384155899
6,2023,MLB,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,23.92131495536352,88.8438104438311,85.36698704610322,92.32063384155899
6,2023,MLB,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,23.92131495536352,88.8438104438311,85.36698704610322,92.32063384155899
8,2021,MLB,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,-7.956317089186918,74.93979999999519,74.87514772277243,75.00445227721795
8,2021,MLB,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,-7.956317089186918,74.93979999999519,74.87514772277243,75.00445227721795
8,2021,MLB,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,-7.956317089186918,74.93979999999519,74.87514772277243,75.00445227721795
11,2023,AAA,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,5.948357498054969,88.54526495280321,87.88906267461371,89.2014672309927
11,2023,AAA,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,5.948357498054969,88.54526495280321,87.88906267461371,89.2014672309927
11,2023,AAA,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,5.948357498054969,88.54526495280321,87.88906267461371,89.2014672309927
12,2023,MLB,AA,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,27.377462816426064,88.52464138632558,86.9705944890084,90.07868828364276
12,2023,MLB,AAA,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,27.377462816426064,88.52464138632558,86.9705944890084,90.07868828364276
12,2023,MLB,MLB,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,27.377462816426064,88.52464138632558,86.9705944890084,90.07868828364276
14,2022,AAA,AA,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,29.6774776848088,87.57448725965773,84.15119476962435,90.9977797496911
14,2022,AAA,AAA,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,29.6774776848088,87.57448725965773,84.15119476962435,90.9977797496911
14,2022,AAA,MLB,"Auto-ARIMAX(1, 0, 1)",auto_arima,,,29.6774776848088,87.57448725965773,84.15119476962435,90.9977797496911
19,2023,AAA,AA,"Auto-ARIMAX(0, 0, 1)",auto_arima,,,34.011908988987344,86.30233084307443,79.2586435245966,93.34601816155227
19,2023,AAA,AAA,"Auto-ARIMAX(0, 0, 1)",auto_arima,,,34.011908988987344,86.30233084307443,79.2586435245966,93.34601816155227
19,2023,AAA,MLB,"Auto-ARIMAX(0, 0, 1)",auto_arima,,,34.011908988987344,86.30233084307443,79.2586435245966,93.34601816155227
23,2023,AAA,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,10.42315320050001,88.84539582047907,87.94389751880176,89.74689412215638
23,2023,AAA,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,10.42315320050001,88.84539582047907,87.94389751880176,89.74689412215638
23,2023,AAA,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,10.42315320050001,88.84539582047907,87.94389751880176,89.74689412215638
26,2021,AAA,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,7.351696001434178,85.47677595903953,84.64766097914757,86.30589093893148
26,2021,AAA,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,7.351696001434178,85.47677595903953,84.64766097914757,86.30589093893148
26,2021,AAA,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,7.351696001434178,85.47677595903953,84.64766097914757,86.30589093893148
28,2023,AA,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,21.142902026809708,87.2979507723922,84.66454555726718,89.93135598751722
28,2023,AA,AAA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,21.142902026809708,87.2979507723922,84.66454555726718,89.93135598751722
28,2023,AA,MLB,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,21.142902026809708,87.2979507723922,84.66454555726718,89.93135598751722
31,2023,MLB,AA,"Auto-ARIMAX(0, 0, 0)",auto_arima,,,9.968540220214024,86.71352183186448,85.85208919404923,87.57495446967974
