batter_id,last_season,forecast_season,method,order,forecast,lower_95,upper_95,val_rmse,val_mae,val_aic
7,2019,2020,naive_last,,82.9032625,,,,,
17,2019,2020,naive_last,,67.0343,,,,,
18,2019,2020,naive_last,,83.59298333333334,,,,,
20,2019,2020,naive_last,,85.16283333333332,,,,,
24,2019,2020,naive_last,,94.9922,,,,,
33,2019,2020,naive_last,,83.21597142857142,,,,,
34,2019,2020,naive_last,,82.84228260869565,,,,,
36,2019,2020,naive_last,,85.24145909090909,,,,,
70,2019,2020,naive_last,,89.71964313725489,,,,,
82,2019,2020,naive_last,,87.47824,,,,,
89,2019,2020,naive_last,,90.0453,,,,,
93,2019,2020,naive_last,,88.4416142857143,,,,,
95,2019,2020,naive_last,,86.96137262569832,,,,,
97,2019,2020,naive_last,,83.58317071823205,,,,,
100,2019,2020,naive_last,,85.37957435897435,,,,,
102,2019,2020,naive_last,,84.33543151750973,,,,,
107,2019,2020,naive_last,,84.98854122137405,,,,,
108,2019,2020,naive_last,,88.52059759615385,,,,,
111,2019,2020,naive_last,,91.9474,,,,,
116,2019,2020,naive_last,,85.37246153846155,,,,,
124,2019,2020,naive_last,,63.882,,,,,
125,2019,2020,naive_last,,87.41950967741936,,,,,
135,2019,2020,naive_last,,81.39744999999999,,,,,
136,2019,2020,naive_last,,83.99413,,,,,
138,2019,2020,naive_last,,50.2015,,,,,
139,2019,2020,naive_last,,86.40055224719102,,,,,
142,2019,2020,naive_last,,80.31343529411765,,,,,
156,2019,2020,naive_last,,86.44295,,,,,
164,2019,2020,naive_last,,95.8151,,,,,
168,2019,2020,naive_last,,84.49955,,,,,
169,2019,2020,naive_last,,88.47901149425287,,,,,
171,2019,2020,naive_last,,87.33728893442623,,,,,
173,2019,2020,naive_last,,80.8653,,,,,
181,2019,2020,naive_last,,87.04161875,,,,,
183,2019,2020,naive_last,,86.90778947368422,,,,,
185,2019,2020,naive_last,,86.89022210526315,,,,,
187,2019,2020,naive_last,,67.6363,,,,,
189,2019,2020,naive_last,,85.70472931034483,,,,,
192,2019,2020,naive_last,,90.09913050847459,,,,,
199,2019,2020,naive_last,,84.31652222222222,,,,,
209,2019,2020,naive_last,,87.68611307692308,,,,,
212,2019,2020,naive_last,,86.2242208,,,,,
215,2019,2020,naive_last,,91.42172526881721,,,,,
217,2019,2020,naive_last,,84.78702222222222,,,,,
225,2019,2020,naive_last,,85.81929724137932,,,,,
236,2019,2020,naive_last,,89.54480172413793,,,,,
240,2019,2020,naive_last,,87.97416666666668,,,,,
248,2019,2020,naive_last,,85.33962372881356,,,,,
249,2019,2020,naive_last,,55.964825000000005,,,,,
253,2019,2020,naive_last,,92.63451826086957,,,,,
273,2019,2020,naive_last,,89.4079,,,,,
274,2019,2020,naive_last,,90.88753636363637,,,,,
279,2019,2020,naive_last,,92.2376,,,,,
286,2019,2020,naive_last,,89.9612,,,,,
295,2019,2020,naive_last,,87.03772307692307,,,,,
299,2019,2020,naive_last,,85.33852135922331,,,,,
304,2019,2020,naive_last,,83.53073333333333,,,,,
308,2019,2020,naive_last,,90.4942909090909,,,,,
318,2019,2020,naive_last,,79.72950937499999,,,,,
319,2019,2020,naive_last,,88.9983,,,,,
320,2019,2020,naive_last,,88.4507,,,,,
321,2019,2020,naive_last,,82.6031,,,,,
326,2019,2020,naive_last,,86.69694423791822,,,,,
334,2019,2020,naive_last,,82.8077,,,,,
341,2019,2020,naive_last,,86.19885555555555,,,,,
347,2019,2020,naive_last,,92.6365,,,,,
351,2019,2020,naive_last,,90.05099945945946,,,,,
370,2019,2020,naive_last,,87.13434427480915,,,,,
372,2019,2020,naive_last,,86.46497,,,,,
379,2019,2020,naive_last,,91.84859396551725,,,,,
386,2019,2020,naive_last,,88.38542671755725,,,,,
388,2019,2020,naive_last,,80.1473,,,,,
391,2019,2020,naive_last,,86.47975,,,,,
396,2019,2020,naive_last,,54.80035,,,,,
405,2019,2020,naive_last,,89.53521052631578,,,,,
413,2019,2020,naive_last,,94.34685,,,,,
416,2019,2020,naive_last,,92.16713333333333,,,,,
444,2019,2020,naive_last,,65.96485,,,,,
447,2019,2020,naive_last,,90.66206469002695,,,,,
451,2019,2020,naive_last,,86.32430392156863,,,,,
455,2019,2020,naive_last,,91.84395670103092,,,,,
459,2019,2020,naive_last,,97.03868333333334,,,,,
462,2019,2020,naive_last,,85.99043580246914,,,,,
463,2019,2020,naive_last,,80.38,,,,,
467,2019,2020,naive_last,,96.7912,,,,,
470,2019,2020,naive_last,,37.0055,,,,,
473,2019,2020,naive_last,,91.7876,,,,,
480,2019,2020,naive_last,,91.06389999999999,,,,,
484,2019,2020,naive_last,,66.2224,,,,,
486,2019,2020,naive_last,,75.3687,,,,,
488,2019,2020,naive_last,,90.65146666666668,,,,,
491,2019,2020,naive_last,,87.4368,,,,,
494,2019,2020,naive_last,,80.381,,,,,
501,2019,2020,naive_last,,78.6894,,,,,
504,2019,2020,naive_last,,73.6508,,,,,
509,2019,2020,naive_last,,85.0588,,,,,
518,2019,2020,naive_last,,86.36354,,,,,
548,2019,2020,naive_last,,87.28223333333334,,,,,
558,2019,2020,naive_last,,91.33850000000001,,,,,
563,2019,2020,naive_last,,89.18957499999999,,,,,
578,2019,2020,naive_last,,77.99459999999999,,,,,
584,2019,2020,naive_last,,89.49521066666667,,,,,
589,2019,2020,naive_last,,74.33745555555555,,,,,
594,2019,2020,naive_last,,86.63512333333333,,,,,
596,2019,2020,naive_last,,84.179,,,,,
