,season,batter_id,age,last_season,target_level_2024,seasons_in_data,total_observations,recent_performance,method,fit_mode,val_rmse,val_mae,val_aic,arima_order_p,arima_order_d,arima_order_q,forecast,lower_95,upper_95,prediction_std
0,2024,2,25.4,2023.0,MLB,1.0,393.0,90.5978358778626,fallback_last_plus_level,simple_arima,,,13.85073771882102,,,,93.0978358778626,,,
1,2024,6,29.2,2023.0,MLB,5.0,1111.0,87.04503734567902,"ARIMAX(0, 0, 0)",aic,,,-89.70244735686573,0.0,0.0,0.0,85.81598891359133,85.81598109481874,85.81599673236391,3.989169687549887e-06
2,2024,9,22.3,2023.0,MLB,2.0,228.0,90.56519375,"ARIMAX(0, 0, 0)",aic,,,-31.081811975735704,0.0,0.0,0.0,90.56518903640868,90.56518117879008,90.56519689402728,4.008989080841961e-06
3,2024,11,26.8,2023.0,MLB,3.0,972.0,88.93208561643836,"ARIMAX(0, 0, 0)",aic,,,-46.37942600517648,0.0,0.0,0.0,84.74930675670441,84.74929693891286,84.74931657449596,5.009077321634619e-06
4,2024,12,34.8,2023.0,MLB,5.0,1740.0,88.39255310621242,"ARIMAX(0, 0, 0)",cv,2.988415235642407,2.2776679566636986,-37.96556093651762,0.0,0.0,0.0,89.14298990408808,89.14298201774913,89.14299779042703,4.023642320914535e-06
5,2024,19,28.5,2023.0,MLB,5.0,520.0,91.706694375,"ARIMAX(0, 0, 0)",cv,7.821660189961717,6.486478048376917,-40.168605964605845,0.0,0.0,0.0,179.781800212072,179.78179046719708,179.78180995694692,4.971874957089647e-06
6,2024,31,28.3,2023.0,MLB,5.0,913.0,86.43619082125603,"ARIMAX(0, 0, 0)",aic,,,-91.06601728127173,0.0,0.0,0.0,86.50095608946017,86.50094831058398,86.50096386833637,3.968814385525455e-06
7,2024,35,30.4,2023.0,MLB,5.0,1755.0,86.39671840659341,"ARIMAX(0, 0, 0)",cv,3.1450958823210624,2.869746554311142,-38.10200893937352,0.0,0.0,0.0,85.55076495678608,85.55075706420328,85.55077284936888,4.026827959515518e-06
8,2024,42,26.6,2022.0,MLB,4.0,1063.0,87.97930148809525,"ARIMAX(0, 0, 0)",cv,2.711416037391629,2.711416037391629,-27.747971669066388,0.0,0.0,0.0,88.40249955323611,88.40249173207508,88.40250737439715,3.990388282842587e-06
9,2024,44,26.9,2023.0,MLB,3.0,748.0,89.88282527777778,"ARIMAX(0, 0, 0)",aic,,,-46.47499132731397,0.0,0.0,0.0,88.8855705548888,88.88556074516207,88.88558036461554,5.0049626194048855e-06
